"Relative","Count","SrcBytes"
"BLDA\CharFace\airi","11","317574"
"BLDA\CharFace\akane","11","441856"
"BLDA\CharFace\akari","10","408770"
"BLDA\CharFace\ako","20","630750"
"BLDA\CharFace\aris","23","733946"
"BLDA\CharFace\arona","44","1299070"
"BLDA\CharFace\aru","18","677726"
"BLDA\CharFace\aru_newyear","21","683586"
"BLDA\CharFace\asuna","10","386292"
"BLDA\CharFace\atsuko","12","278822"
"BLDA\CharFace\ayane","20","665336"
"BLDA\CharFace\ayane_robber","19","653828"
"BLDA\CharFace\azusa","13","481964"
"BLDA\CharFace\azusa_swimsuit","12","551744"
"BLDA\CharFace\BunnyGirl_SR","12","420728"
"BLDA\CharFace\CFID_0\CharID_106","3","21166"
"BLDA\CharFace\CFID_1\CharID_0","34","1073640"
"BLDA\CharFace\CFID_1\CharID_100","44","1130172"
"BLDA\CharFace\CFID_1\CharID_100_1","52","1257514"
"BLDA\CharFace\CFID_1\CharID_100_2","57","800768"
"BLDA\CharFace\CFID_1\CharID_101","26","578402"
"BLDA\CharFace\CFID_1\CharID_101_1","36","792956"
"BLDA\CharFace\CFID_1\CharID_101_2","60","911712"
"BLDA\CharFace\CFID_1\CharID_102","22","285316"
"BLDA\CharFace\CFID_1\CharID_102_1","46","809838"
"BLDA\CharFace\CFID_1\CharID_102_2","41","330474"
"BLDA\CharFace\CFID_1\CharID_103","65","949768"
"BLDA\CharFace\CFID_1\CharID_103_1","48","1302872"
"BLDA\CharFace\CFID_1\CharID_103_2","135","1620460"
"BLDA\CharFace\CFID_1\CharID_106","31","454532"
"BLDA\CharFace\CFID_1\CharID_108","32","655026"
"BLDA\CharFace\CFID_1\CharID_110","21","312344"
"BLDA\CharFace\CFID_1\CharID_112","42","1063368"
"BLDA\CharFace\CFID_1\CharID_114","29","419648"
"BLDA\CharFace\CFID_1\CharID_115","25","502316"
"BLDA\CharFace\CFID_1\CharID_124","33","1229452"
"BLDA\CharFace\CFID_1\CharID_125","49","934862"
"BLDA\CharFace\CFID_1\CharID_126","23","294308"
"BLDA\CharFace\CFID_1\CharID_131","33","512864"
"BLDA\CharFace\CFID_1\CharID_136","36","1231168"
"BLDA\CharFace\CFID_1\CharID_137","58","796060"
"BLDA\CharFace\CFID_1\CharID_148","54","1253700"
"BLDA\CharFace\CFID_1\CharID_154","43","612638"
"BLDA\CharFace\CFID_1\CharID_158","41","1109230"
"BLDA\CharFace\CFID_1\CharID_175","57","1770204"
"BLDA\CharFace\CFID_1\CharID_192","27","918016"
"BLDA\CharFace\CFID_1\CharID_195","37","1187394"
"BLDA\CharFace\CFID_1\CharID_203","38","432516"
"BLDA\CharFace\CFID_1\CharID_207","45","1484530"
"BLDA\CharFace\CFID_1\CharID_228","41","567070"
"BLDA\CharFace\CFID_1\CharID_229","30","502874"
"BLDA\CharFace\CFID_1\CharID_232","46","592792"
"BLDA\CharFace\CFID_1\CharID_232_1","82","1746388"
"BLDA\CharFace\CFID_1\CharID_233","31","503590"
"BLDA\CharFace\CFID_1\CharID_81","67","1431400"
"BLDA\CharFace\CFID_1\CharID_82","37","852934"
"BLDA\CharFace\CFID_1\CharID_84","36","1357800"
"BLDA\CharFace\CFID_1\CharID_84_1","47","790364"
"BLDA\CharFace\CFID_1\CharID_89_1","48","1509040"
"BLDA\CharFace\CFID_1\CharID_99","32","825816"
"BLDA\CharFace\CFID_10\CharID_0-202","152","4289548"
"BLDA\CharFace\CFID_10\CharID_130-177","85","1722746"
"BLDA\CharFace\CFID_10\CharID_130-201","405","15032730"
"BLDA\CharFace\CFID_10\CharID_131-187","89","2493662"
"BLDA\CharFace\CFID_10\CharID_155-208","159","3912084"
"BLDA\CharFace\CFID_10\CharID_156-209","105","3239820"
"BLDA\CharFace\CFID_10\CharID_157-210","265","8249648"
"BLDA\CharFace\CFID_10\CharID_158-211","237","3881314"
"BLDA\CharFace\CFID_10\CharID_175-190","220","4840660"
"BLDA\CharFace\CFID_10\CharID_175-258","160","5347880"
"BLDA\CharFace\CFID_10\CharID_2-203","119","3558658"
