"Relative","Count","SrcBytes","DstBytes","ExitCode"
"BLDA\CharFace\airi","11","317574","25850","0"
"BLDA\CharFace\akane","11","441856","41003","0"
"BLDA\CharFace\akari","10","408770","34495","0"
"BLDA\CharFace\ako","20","630750","39671","0"
"BLDA\CharFace\aris","23","733946","43841","0"
"BLDA\CharFace\arona","44","1299070","65930","0"
"BLDA\CharFace\aru","18","677726","43301","0"
"BLDA\CharFace\aru_newyear","21","683586","42436","0"
"BLDA\CharFace\asuna","10","386292","34679","0"
"BLDA\CharFace\atsuko","12","278822","31792","0"
"BLDA\CharFace\ayane","20","665336","41753","0"
"BLDA\CharFace\ayane_robber","19","653828","38391","0"
"BLDA\CharFace\azusa","13","481964","36735","0"
"BLDA\CharFace\azusa_swimsuit","12","551744","40841","0"
"BLDA\CharFace\BunnyGirl_SR","12","420728","25232","0"
"BLDA\CharFace\CFID_0\CharID_106","3","21166","10734","0"
"BLDA\CharFace\CFID_1\CharID_0","34","1073640","59312","0"
"BLDA\CharFace\CFID_1\CharID_100","44","1130172","85077","0"
"BLDA\CharFace\CFID_1\CharID_100_1","52","1257514","84067","0"
"BLDA\CharFace\CFID_1\CharID_100_2","57","800768","68838","0"
"BLDA\CharFace\CFID_1\CharID_101","26","578402","52189","0"
"BLDA\CharFace\CFID_1\CharID_101_1","36","792956","60241","0"
"BLDA\CharFace\CFID_1\CharID_101_2","60","911712","95714","0"
"BLDA\CharFace\CFID_1\CharID_102","22","285316","39276","0"
"BLDA\CharFace\CFID_1\CharID_102_1","46","809838","80817","0"
"BLDA\CharFace\CFID_1\CharID_102_2","41","330474","49635","0"
"BLDA\CharFace\CFID_1\CharID_103","65","949768","112899","0"
"BLDA\CharFace\CFID_1\CharID_103_1","48","1302872","103708","0"
"BLDA\CharFace\CFID_1\CharID_103_2","135","1620460","174393","0"
"BLDA\CharFace\CFID_1\CharID_106","31","454532","39915","0"
"BLDA\CharFace\CFID_1\CharID_108","32","655026","48555","0"
"BLDA\CharFace\CFID_1\CharID_110","21","312344","38014","0"
"BLDA\CharFace\CFID_1\CharID_112","42","1063368","62658","0"
"BLDA\CharFace\CFID_1\CharID_114","29","419648","48698","0"
"BLDA\CharFace\CFID_1\CharID_115","25","502316","46497","0"
"BLDA\CharFace\CFID_1\CharID_124","33","1229452","56886","0"
"BLDA\CharFace\CFID_1\CharID_125","49","934862","81480","0"
"BLDA\CharFace\CFID_1\CharID_126","23","294308","45319","0"
"BLDA\CharFace\CFID_1\CharID_131","33","512864","47634","0"
"BLDA\CharFace\CFID_1\CharID_136","36","1231168","64180","0"
"BLDA\CharFace\CFID_1\CharID_137","58","796060","78021","0"
"BLDA\CharFace\CFID_1\CharID_148","54","1253700","72243","0"
"BLDA\CharFace\CFID_1\CharID_154","43","612638","52085","0"
"BLDA\CharFace\CFID_1\CharID_158","41","1109230","57183","0"
"BLDA\CharFace\CFID_1\CharID_175","57","1770204","87702","0"
"BLDA\CharFace\CFID_1\CharID_192","27","918016","53502","0"
"BLDA\CharFace\CFID_1\CharID_195","37","1187394","61258","0"
"BLDA\CharFace\CFID_1\CharID_203","38","432516","67277","0"
"BLDA\CharFace\CFID_1\CharID_207","45","1484530","66822","0"
"BLDA\CharFace\CFID_1\CharID_228","41","567070","53744","0"
"BLDA\CharFace\CFID_1\CharID_229","30","502874","47705","0"
"BLDA\CharFace\CFID_1\CharID_232","46","592792","65241","0"
"BLDA\CharFace\CFID_1\CharID_232_1","82","1746388","137685","0"
"BLDA\CharFace\CFID_1\CharID_233","31","503590","46077","0"
"BLDA\CharFace\CFID_1\CharID_81","67","1431400","111514","0"
"BLDA\CharFace\CFID_1\CharID_82","37","852934","78537","0"
"BLDA\CharFace\CFID_1\CharID_84","36","1357800","46747","0"
"BLDA\CharFace\CFID_1\CharID_84_1","47","790364","54925","0"
"BLDA\CharFace\CFID_1\CharID_89_1","48","1509040","57678","0"
"BLDA\CharFace\CFID_1\CharID_99","32","825816","51323","0"
"BLDA\CharFace\CFID_10\CharID_0-202","152","4289548","104697","0"
"BLDA\CharFace\CFID_10\CharID_130-177","85","1722746","118184","0"
"BLDA\CharFace\CFID_10\CharID_130-201","405","15032730","320110","0"
"BLDA\CharFace\CFID_10\CharID_131-187","89","2493662","93774","0"
"BLDA\CharFace\CFID_10\CharID_155-208","159","3912084","101728","0"
"BLDA\CharFace\CFID_10\CharID_156-209","105","3239820","68465","0"
"BLDA\CharFace\CFID_10\CharID_157-210","265","8249648","178261","0"
"BLDA\CharFace\CFID_10\CharID_158-211","237","3881314","139339","0"
"BLDA\CharFace\CFID_10\CharID_175-190","220","4840660","147444","0"
"BLDA\CharFace\CFID_10\CharID_175-258","160","5347880","109369","0"
"BLDA\CharFace\CFID_10\CharID_2-203","119","3558658","86954","0"
"BLDA\CharFace\CFID_10\CharID_3-204","159","3350414","102370","0"
"BLDA\CharFace\CFID_10\CharID_4-205","213","6574250","219315","0"
"BLDA\CharFace\CFID_10\CharID_5-195","194","4947608","211006","0"
"BLDA\CharFace\CFID_10\CharID_6-196","211","6673708","179671","0"
"BLDA\CharFace\CFID_10\CharID_7-197","109","3194388","112863","0"
"BLDA\CharFace\CFID_10\CharID_8-198","118","3606596","109766","0"
"BLDA\CharFace\CFID_10\CharID_94-183","145","4646432","131601","0"
"BLDA\CharFace\CFID_10\CharID_95-184","79","2542132","90655","0"
"BLDA\CharFace\CFID_10\CharID_96-185","71","2265638","74792","0"
"BLDA\CharFace\CFID_10\CharID_97-186","89","2668544","94031","0"
"BLDA\CharFace\CFID_2\CharID_104_1","21","136402","21309","0"
"BLDA\CharFace\CFID_2\CharID_104_2","50","1242830","206264","0"
"BLDA\CharFace\CFID_2\CharID_93","9","225850","20609","0"
"BLDA\CharFace\CFID_2\CharID_93_1","12","379802","22714","0"
"BLDA\CharFace\CFID_2\CharID_93_2","9","132654","20558","0"
"BLDA\CharFace\CFID_2\CharID_93_3","32","492742","56827","0"
"BLDA\CharFace\CFID_2\CharID_93-246","53","530348","74186","0"
"BLDA\CharFace\CFID_2\CharID_94","26","398484","39875","0"
"BLDA\CharFace\CFID_3\CharID_10_1","33","956348","71451","0"
"BLDA\CharFace\CFID_3\CharID_10_2","33","878094","89773","0"
"BLDA\CharFace\CFID_3\CharID_10_3","33","782706","70726","0"
"BLDA\CharFace\CFID_4\CharID_104","19","291012","43281","0"
"BLDA\CharFace\CFID_4\CharID_105","28","439980","46516","0"
"BLDA\CharFace\CFID_4\CharID_119","74","1399240","129333","0"
"BLDA\CharFace\CFID_4\CharID_130","31","679596","61271","0"
"BLDA\CharFace\CFID_4\CharID_131","10","153656","29561","0"
"BLDA\CharFace\CFID_4\CharID_132","17","209078","27095","0"
"BLDA\CharFace\CFID_4\CharID_134","41","669848","65987","0"
"BLDA\CharFace\CFID_4\CharID_135","31","451028","47173","0"
"BLDA\CharFace\CFID_4\CharID_152","23","310696","45862","0"
"BLDA\CharFace\CFID_4\CharID_156","55","868282","71590","0"
"BLDA\CharFace\CFID_4\CharID_157","7","103932","35628","0"
"BLDA\CharFace\CFID_4\CharID_158","8","117086","23596","0"
"BLDA\CharFace\CFID_4\CharID_167","33","528272","48535","0"
"BLDA\CharFace\CFID_4\CharID_167_REPAIR","10","159652","27766","0"
"BLDA\CharFace\CFID_4\CharID_173","58","1045754","81446","0"
"BLDA\CharFace\CFID_4\CharID_175","9","163362","34727","0"
"BLDA\CharFace\CFID_4\CharID_176","24","485984","35437","0"
"BLDA\CharFace\CFID_4\CharID_182","44","723654","47004","0"
"BLDA\CharFace\CFID_4\CharID_224","41","668832","67083","0"
"BLDA\CharFace\CFID_4\CharID_224_REPAIR","18","289594","38275","0"
"BLDA\CharFace\CFID_4\CharID_225","38","675676","70900","0"
"BLDA\CharFace\CFID_4\CharID_226","30","503942","70931","0"
"BLDA\CharFace\CFID_4\CharID_226_REPAIR","19","326134","49978","0"
"BLDA\CharFace\CFID_4\CharID_228","36","592044","77315","0"
"BLDA\CharFace\CFID_4\CharID_230","113","1477558","149150","0"
"BLDA\CharFace\CFID_4\CharID_234","28","386224","57785","0"
"BLDA\CharFace\CFID_4\CharID_6","47","726996","52209","0"
"BLDA\CharFace\CFID_4\CharID_68","3","41380","17340","0"
"BLDA\CharFace\CFID_5\CharID_0_OLD","8","239440","26308","0"
"BLDA\CharFace\CFID_5\CharID_108_OLD","8","200690","27948","0"
"BLDA\CharFace\CFID_5\CharID_110_OLD","8","292934","28239","0"
"BLDA\CharFace\CFID_5\CharID_119_OLD","9","231146","25048","0"
"BLDA\CharFace\CFID_5\CharID_131_OLD","12","364130","27051","0"
"BLDA\CharFace\CFID_5\CharID_145_OLD","11","343234","32156","0"
"BLDA\CharFace\CFID_5\CharID_153_OLD","11","342314","28147","0"
"BLDA\CharFace\CFID_5\CharID_154_OLD","9","262180","30445","0"
"BLDA\CharFace\CFID_5\CharID_159_OLD","7","191274","23663","0"
"BLDA\CharFace\CFID_5\CharID_160_OLD","14","542576","46132","0"
"BLDA\CharFace\CFID_5\CharID_184_OLD","9","339270","32549","0"
"BLDA\CharFace\CFID_5\CharID_202_OLD","11","234962","22681","0"
"BLDA\CharFace\CFID_5\CharID_222_OLD","9","268440","27629","0"
"BLDA\CharFace\CFID_5\CharID_230_OLD","15","534830","35142","0"
"BLDA\CharFace\CFID_5\CharID_40_1_OLD","12","445506","40913","0"
"BLDA\CharFace\CFID_5\CharID_40_2_OLD","11","392892","31008","0"
"BLDA\CharFace\CFID_5\CharID_40_3_OLD","16","553552","45462","0"
"BLDA\CharFace\CFID_5\CharID_40_4_OLD","8","342390","31803","0"
"BLDA\CharFace\CFID_5\CharID_40_5_OLD","8","199446","21860","0"
"BLDA\CharFace\CFID_5\CharID_40_6_OLD","10","164962","24101","0"
"BLDA\CharFace\CFID_5\CharID_82_OLD","12","561660","45708","0"
"BLDA\CharFace\CFID_6\CharID_0","36","1154650","34758","0"
"BLDA\CharFace\CFID_6\CharID_10","28","773594","30273","0"
"BLDA\CharFace\CFID_6\CharID_100-267","215","5831394","137403","0"
"BLDA\CharFace\CFID_6\CharID_104","235","6207032","278523","0"
"BLDA\CharFace\CFID_6\CharID_104-173","185","5051268","141816","0"
"BLDA\CharFace\CFID_6\CharID_104-239","388","8387064","219902","0"
"BLDA\CharFace\CFID_6\CharID_105","131","3127902","116625","0"
"BLDA\CharFace\CFID_6\CharID_105-140","252","6250110","205474","0"
"BLDA\CharFace\CFID_6\CharID_105-262","473","11746242","276174","0"
"BLDA\CharFace\CFID_6\CharID_105-269","208","5735720","124416","0"
"BLDA\CharFace\CFID_6\CharID_106","198","2786042","143699","0"
"BLDA\CharFace\CFID_6\CharID_106-271","241","7062842","143284","0"
"BLDA\CharFace\CFID_6\CharID_107-206","113","3638376","106215","0"
