"Relative","Count","SrcBytes","DstBytes","ExitCode"
"GameData\BLDA\CharFace\airi","11","317574","36327","0"
"GameData\BLDA\CharFace\akane","11","441856","68343","0"
"GameData\BLDA\CharFace\akari","10","408770","56733","0"
"GameData\BLDA\CharFace\ako","20","630750","51213","0"
"GameData\BLDA\CharFace\aris","23","733946","50978","0"
"GameData\BLDA\CharFace\Arius_GL1","1","28072","26191","0"
"GameData\BLDA\CharFace\arona","44","1299070","78542","0"
"GameData\BLDA\CharFace\aru","18","677726","68089","0"
"GameData\BLDA\CharFace\aru_newyear","21","683586","54525","0"
"GameData\BLDA\CharFace\asuna","10","386292","47499","0"
"GameData\BLDA\CharFace\atsuko","12","278822","38697","0"
"GameData\BLDA\CharFace\Automata_Decagrammaton1","1","20174","19281","0"
"GameData\BLDA\CharFace\Automata_Kurokamegumi1","1","18226","17589","0"
"GameData\BLDA\CharFace\Automata_PMC1","1","19098","18288","0"
"GameData\BLDA\CharFace\ayane","20","665336","55377","0"
"GameData\BLDA\CharFace\ayane_robber","19","653828","49109","0"
"GameData\BLDA\CharFace\azusa","13","481964","50207","0"
"GameData\BLDA\CharFace\azusa_swimsuit","12","551744","57916","0"
"GameData\BLDA\CharFace\blacksuit","1","31172","18742","0"
"GameData\BLDA\CharFace\BunnyGirl_SR","12","420728","38824","0"
"GameData\BLDA\CharFace\CFID_0\CharID_106","3","21166","10130","0"
"GameData\BLDA\CharFace\CFID_1\CharID_0","34","1073640","70607","0"
"GameData\BLDA\CharFace\CFID_1\CharID_100","44","1130172","91112","0"
"GameData\BLDA\CharFace\CFID_1\CharID_100_1","52","1257514","73381","0"
"GameData\BLDA\CharFace\CFID_1\CharID_100_2","57","800768","59607","0"
"GameData\BLDA\CharFace\CFID_1\CharID_101","26","578402","55096","0"
"GameData\BLDA\CharFace\CFID_1\CharID_101_1","36","792956","61431","0"
"GameData\BLDA\CharFace\CFID_1\CharID_101_2","60","911712","84641","0"
"GameData\BLDA\CharFace\CFID_1\CharID_102","22","285316","37318","0"
"GameData\BLDA\CharFace\CFID_1\CharID_102_1","46","809838","65482","0"
"GameData\BLDA\CharFace\CFID_1\CharID_102_2","41","330474","32976","0"
"GameData\BLDA\CharFace\CFID_1\CharID_103","65","949768","94768","0"
"GameData\BLDA\CharFace\CFID_1\CharID_103_1","48","1302872","105476","0"
"GameData\BLDA\CharFace\CFID_1\CharID_103_2","135","1620460","122432","0"
"GameData\BLDA\CharFace\CFID_1\CharID_106","31","454532","35877","0"
"GameData\BLDA\CharFace\CFID_1\CharID_108","32","655026","44654","0"
"GameData\BLDA\CharFace\CFID_1\CharID_110","21","312344","33033","0"
"GameData\BLDA\CharFace\CFID_1\CharID_112","42","1063368","61649","0"
"GameData\BLDA\CharFace\CFID_1\CharID_114","29","419648","43488","0"
"GameData\BLDA\CharFace\CFID_1\CharID_115","25","502316","51011","0"
"GameData\BLDA\CharFace\CFID_1\CharID_124","33","1229452","78890","0"
"GameData\BLDA\CharFace\CFID_1\CharID_125","49","934862","71986","0"
"GameData\BLDA\CharFace\CFID_1\CharID_126","23","294308","38359","0"
"GameData\BLDA\CharFace\CFID_1\CharID_131","33","512864","44184","0"
"GameData\BLDA\CharFace\CFID_1\CharID_136","36","1231168","72343","0"
"GameData\BLDA\CharFace\CFID_1\CharID_137","58","796060","50751","0"
"GameData\BLDA\CharFace\CFID_1\CharID_148","54","1253700","61860","0"
"GameData\BLDA\CharFace\CFID_1\CharID_154","43","612638","36115","0"
"GameData\BLDA\CharFace\CFID_1\CharID_158","41","1109230","58644","0"
"GameData\BLDA\CharFace\CFID_1\CharID_175","57","1770204","79045","0"
"GameData\BLDA\CharFace\CFID_1\CharID_192","27","918016","70419","0"
"GameData\BLDA\CharFace\CFID_1\CharID_195","37","1187394","78274","0"
"GameData\BLDA\CharFace\CFID_1\CharID_203","38","432516","55023","0"
"GameData\BLDA\CharFace\CFID_1\CharID_207","45","1484530","70190","0"
"GameData\BLDA\CharFace\CFID_1\CharID_228","41","567070","43864","0"
"GameData\BLDA\CharFace\CFID_1\CharID_229","30","502874","41853","0"
"GameData\BLDA\CharFace\CFID_1\CharID_232","46","592792","46056","0"
"GameData\BLDA\CharFace\CFID_1\CharID_232_1","82","1746388","128888","0"
"GameData\BLDA\CharFace\CFID_1\CharID_233","31","503590","35298","0"
"GameData\BLDA\CharFace\CFID_1\CharID_81","67","1431400","87369","0"
"GameData\BLDA\CharFace\CFID_1\CharID_82","37","852934","94704","0"
"GameData\BLDA\CharFace\CFID_1\CharID_84","36","1357800","58100","0"
"GameData\BLDA\CharFace\CFID_1\CharID_84_1","47","790364","45192","0"
"GameData\BLDA\CharFace\CFID_1\CharID_89_1","48","1509040","56948","0"
"GameData\BLDA\CharFace\CFID_1\CharID_99","32","825816","53102","0"
"GameData\BLDA\CharFace\CFID_10\CharID_0-202","152","4289548","90406","0"
"GameData\BLDA\CharFace\CFID_10\CharID_130-177","85","1722746","92775","0"
"GameData\BLDA\CharFace\CFID_10\CharID_130-201","405","15032730","240580","0"
"GameData\BLDA\CharFace\CFID_10\CharID_131-187","89","2493662","69231","0"
"GameData\BLDA\CharFace\CFID_10\CharID_155-208","159","3912084","86479","0"
"GameData\BLDA\CharFace\CFID_10\CharID_156-209","105","3239820","54368","0"
"GameData\BLDA\CharFace\CFID_10\CharID_157-210","265","8249648","141703","0"
"GameData\BLDA\CharFace\CFID_10\CharID_158-211","237","3881314","86613","0"
"GameData\BLDA\CharFace\CFID_10\CharID_175-190","220","4840660","97284","0"
"GameData\BLDA\CharFace\CFID_10\CharID_175-258","160","5347880","106895","0"
"GameData\BLDA\CharFace\CFID_10\CharID_2-203","119","3558658","62009","0"
"GameData\BLDA\CharFace\CFID_10\CharID_3-204","159","3350414","87523","0"
"GameData\BLDA\CharFace\CFID_10\CharID_4-205","213","6574250","169053","0"
"GameData\BLDA\CharFace\CFID_10\CharID_5-195","194","4947608","129338","0"
"GameData\BLDA\CharFace\CFID_10\CharID_6-196","211","6673708","132804","0"
"GameData\BLDA\CharFace\CFID_10\CharID_7-197","109","3194388","76568","0"
"GameData\BLDA\CharFace\CFID_10\CharID_8-198","118","3606596","74736","0"
"GameData\BLDA\CharFace\CFID_10\CharID_94-183","145","4646432","125970","0"
"GameData\BLDA\CharFace\CFID_10\CharID_95-184","79","2542132","82812","0"
"GameData\BLDA\CharFace\CFID_10\CharID_96-185","71","2265638","75521","0"
"GameData\BLDA\CharFace\CFID_10\CharID_97-186","89","2668544","79582","0"
"GameData\BLDA\CharFace\CFID_2\CharID_104_1","21","136402","23145","0"
"GameData\BLDA\CharFace\CFID_2\CharID_104_2","50","1242830","161947","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93","9","225850","28307","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93_1","12","379802","34635","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93_2","9","132654","22934","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93_3","32","492742","55550","0"
"GameData\BLDA\CharFace\CFID_2\CharID_93-246","53","530348","46175","0"
"GameData\BLDA\CharFace\CFID_2\CharID_94","26","398484","36247","0"
"GameData\BLDA\CharFace\CFID_3\CharID_10_1","33","956348","233481","0"
"GameData\BLDA\CharFace\CFID_3\CharID_10_2","33","878094","281673","0"
"GameData\BLDA\CharFace\CFID_3\CharID_10_3","33","782706","215224","0"
"GameData\BLDA\CharFace\CFID_4\CharID_104","19","291012","44014","0"
"GameData\BLDA\CharFace\CFID_4\CharID_105","28","439980","41951","0"
"GameData\BLDA\CharFace\CFID_4\CharID_119","74","1399240","105635","0"
"GameData\BLDA\CharFace\CFID_4\CharID_130","31","679596","72793","0"
"GameData\BLDA\CharFace\CFID_4\CharID_131","10","153656","26867","0"
"GameData\BLDA\CharFace\CFID_4\CharID_132","17","209078","23674","0"
"GameData\BLDA\CharFace\CFID_4\CharID_134","41","669848","70850","0"
"GameData\BLDA\CharFace\CFID_4\CharID_135","31","451028","48173","0"
"GameData\BLDA\CharFace\CFID_4\CharID_152","23","310696","40986","0"
"GameData\BLDA\CharFace\CFID_4\CharID_156","55","868282","58819","0"
"GameData\BLDA\CharFace\CFID_4\CharID_157","7","103932","36068","0"
"GameData\BLDA\CharFace\CFID_4\CharID_158","8","117086","26598","0"
"GameData\BLDA\CharFace\CFID_4\CharID_167","33","528272","49715","0"
